name,category,region,score,review,value,price,address,latitude,longitude
잘빠진메밀 서촌점,국수,서촌,3.5,848,23.604207152089717,17250,서울 종로구 자하문로11길 4 1-2층 (우)03036,37.579665,126.9709851
라카페갤러리,갤러리카페,서촌,4.7,322,27.154965919146488,14875,서울 종로구 자하문로10길 28 1층 (우)03044,37.5792927,126.9730284
영화루,중국요리,서촌,3.2,650,20.731230855067423,7250,서울 종로구 자하문로7길 65 1층 (우)03036,37.58014,126.9690212
나무사이로,커피전문점,서촌,4.1,455,25.10222051900898,5500,서울 종로구 사직로8길 21 1층 (우)03169,37.5746678,126.9709706
스태픽스,카페,서촌,3.3,1194,23.383474832406513,7125,서울 종로구 사직로9길 22 1층 102호 (우)03027,37.5776587,126.9678039
준수방키친,양식,서촌,4.5,1166,31.7798623452895,26250,서울 종로구 자하문로11길 8 (우)03036,37.5796945,126.9707835
칸다소바 경복궁점,일본식라면,서촌,4.0,1388,28.945357371017376,11000,서울 종로구 자하문로7길 5 1층 (우)03040,37.5781613,126.9712751
김진목삼,삼겹살,서촌,4.5,403,27.00636695082518,18666,서울 종로구 자하문로1길 56 1층 (우)03041,37.5771681,126.9695389
애즈라이크,카페,서촌,3.9,495,24.205646114227218,14500,서울 종로구 효자로7길 23 1층 (우)03044,37.5784234,126.9733336
안주마을,"호프,요리주점",서촌,4.0,1048,27.82237043358519,21000,서울 종로구 자하문로1길 3 (우)03041,37.5764578,126.9721561
토속촌삼계탕,삼계탕,서촌,3.7,1328,26.61107361723901,22250,서울 종로구 자하문로5길 5 (우)03041,37.5776249,126.9716821
알로이막막,동남아음식,서촌,3.0,500,18.649818303254595,15375,서울 종로구 자하문로7길 30 (우)03040,37.5786269,126.9703334
온지음 레스토랑,한식,서촌,4.4,115,20.915796840868005,210000,서울 종로구 효자로 49 4층 (우)03043,37.58050650000001,126.9733811
아키비스트,카페,서촌,3.9,768,25.915854781072014,4833,서울 종로구 효자로13길 52 1층 (우)03042,37.5822158,126.9726772
스코프 서촌점,"제과,베이커리",서촌,3.7,458,22.677485777224017,4825,서울 종로구 필운대로5가길 31 (우)03037,37.5803606,126.967478
도량,중국요리,서촌,4.4,605,28.190271938704985,26500,서울 종로구 자하문로6길 6 백송빌딩 2층 (우)03044,37.5779717,126.9725066
서촌김씨뜨라또리아,이탈리안,서촌,4.2,272,23.559781539776832,21250,서울 종로구 자하문로9길 6 2층 (우)03036,37.579579,126.9708425
고치비,이탈리안,서촌,3.7,385,22.036598267019876,28000,서울 종로구 필운대로 38 1층 (우)03040,37.579331,126.9689389
마지,한식,서촌,3.6,132,17.605256861598313,9750,서울 종로구 자하문로5길 19 (우)03041,37.5776006,126.9707943
한일관 광화문점,한정식,서촌,3.4,90,15.336922322157289,16500,서울 종로구 종로1길 50 더케이트윈타워 A동 지하1층 (우)03142,37.574769,126.979032
서촌기와집,갈비,서촌,3.2,59,13.101902599110723,32500,서울 종로구 자하문로1길 35 1층 (우)03041,37.5765076,126.9702488
체부동잔치집,국수,서촌,3.6,1009,24.903740195407096,9625,서울 종로구 자하문로1길 16 1층 (우)03041,37.57655159999999,126.9715014
포담,중국요리,서촌,3.5,295,19.91625809013421,19250,서울 종로구 사직로 133-10 2층 1호 (우)03044,37.5763755,126.9734463
금상고로케 서촌마을점,"제과,베이커리",서촌,4.4,163,22.439412282426478,12000,서울 종로구 자하문로9길 24 1층 (우)03036,37.579581,126.9697597
체부동수제비와보리밥,수제비,서촌,3.8,230,20.681187299982813,12250,서울 종로구 자하문로5길 16 1층 (우)03040,37.5777894,126.9710431
누하의숲,일식집,서촌,3.8,356,22.335395970762626,15250,서울 종로구 필운대로 31-1 (우)03039,37.5787939,126.9687445
후라토식당 본점,일식,서촌,3.8,529,23.836932624875434,17750,서울 종로구 새문안로5길 19 로얄빌딩 지하1층 63호 (우)03173,37.571988,126.9743281
이태리총각,이탈리안,서촌,3.3,120,15.826108800469246,24000,서울 종로구 자하문로9길 11 1층 (우)03040,37.579332,126.9705632
대오서점,카페,서촌,2.9,91,13.113186873442217,5750,서울 종로구 자하문로7길 55 (우)03036,37.5804114,126.969845
한옥달,이탈리안,서촌,4.0,96,18.29884391401353,20000,서울 종로구 자하문로1가길 9 1층 (우)03041,37.5769438,126.9718793
강구미주구리,회,서촌,3.9,113,18.47117394873853,37500,서울 종로구 자하문로2길 5 (우)03044,37.5765943,126.9730362
까델루뽀,이탈리안,서촌,3.9,140,19.300163572474858,19250,서울 종로구 자하문로16길 5-5 (우)03042,37.5818097,126.9714224
인텔리젠시아 커피 서촌,커피전문점,서촌,3.1,423,18.75417371121907,5600,서울 종로구 자하문로 34 1층 (우)03044,37.5790884,126.9717598
더마틴,카페,서촌,3.9,363,22.998900083783287,6250,서울 종로구 자하문로 54-1 1층 (우)03043,37.5809502,126.9714965
창성갈비,갈비,서촌,4.0,62,16.57253890556613,10500,서울 종로구 자하문로 40-1 1층 (우)03043,37.57963549999999,126.9715949
라면점빵,분식,서촌,4.1,152,20.624795477708982,5125,서울 종로구 자하문로1길 39 1층 (우)03041,37.5765951,126.9701253
광화문뚝감,감자탕,서촌,3.9,682,25.45332995232608,25500,서울 종로구 새문안로3길 21 1층 (우)03175,37.57210190000001,126.9725724
김용현베이커리,"제과,베이커리",서촌,4.0,314,23.010290555302532,4200,서울 종로구 자하문로 21 1층 (우)03040,37.5779879,126.9715459
이가면옥,냉면,서촌,4.0,88,17.95454547892856,11750,서울 종로구 자하문로1길 33 (우)03041,37.5764792,126.9703968
국빈관,"육류,고기",서촌,3.6,378,21.375130338296735,44000,서울 종로구 자하문로2길 17-4 (우)03044,37.5766245,126.9738266
